epoch,train loss,validation loss
1,0.002921703562969924,0.0003048903279704973
2,0.00024126146054186391,0.00021125185085111298
3,0.00017745959830790526,0.00016150044539244845
4,0.00013678249779331965,0.0001272766174224671
5,0.00011216537950531347,0.00010747346932475921
6,9.435971132916165e-05,9.836530080065131e-05
7,8.353283810720313e-05,8.445949570159427e-05
8,7.599634418511413e-05,7.292874688573648e-05
9,6.817585240241897e-05,6.823509465903044e-05
10,6.086789494474942e-05,8.29555527161574e-05
